Year,Total Export Volume (tonnes),Price Index (USD/tonne)
2015-16,1891784,3.216099723858538
2016-17,2269895,3.3367975170657678
2017-18,2754488,3.2751563993017943
2018-19,2785117,3.345595176073393
2019-20,2579303,3.618253070693904
2020-21,2299020,3.8034449461074717
2021-22,2738529,4.205650186651301
2022-23,3470572,3.6863747532107105
2023-24,3563204,3.3971605330483468
2024-25,3396341,3.6750405804364163
